"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG2";"AUG20";"AUG3";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB13";"FEB14";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN12";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN5";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN6";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR16";"MAR17";"MAR18";"MAR19";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV4";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Betula";0;0;93629;513485;232619;61149;0;0;1704;0;0;0;31354;0;290;0;2651;2360;0;0;0;0;16586;3513;1766;9094;0;0;0;0;0;2970;0;4019;0;0;0;0;0;0;9595;3540;716;1706;1158;3656;0;0;20881;0;0;10402;8764;15291;468;23051;0;1297;3903;184;7311;0;0;0;0;0;680;780;1839;333;0;973;0;0;0;0;0;0;18072;0;32376;0;0;0;0;0;609;578;327;0;198;0;0;0;2372;1164;13209;958;0;0;0;1392;540;0;0;0;0;2190;773;0;0;0;0;6398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;679033;2190;0;256867;0;2830;147370;481287;1464;62699;1506;0;45118;0;294870;197340;18065;6146;360274;73083;0;0;312;0;0;0;0;0;1116;0;0;0;0;0;0;0;0;0;276;0;7663;127461;2094;0;0;474;3385;14827;24362;160;5141;0;12302;0;5533;478;30284;1272;0;0;23695;24808;0;0;0;0;4627;11284;5936;68674;1214;0;0;29193;0;54774;0;0;0;11075;0;1223;0;0;0;5698;0;151;1962;0;0;0;0;0;0;0;0;16373;328;0;4303170;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Betula"
"Agrostis";430;1840;0;0;0;0;0;2372;3328;2689;1777;0;1753;0;1325;40;5113;1194;2871;0;1532;16106;1011;1226;492;685;0;0;15317;25490;6505;0;750535;355;15299;270;4514;58983;19335;1437;1879;605;0;231;170;0;6766;1220;7365;0;0;15601;448;15757;0;1146;6132;1792;0;0;0;0;0;0;149;0;315;451;0;0;13344;704;11171;0;2455;0;0;420;803;0;532;0;0;0;0;0;220;318;0;0;0;617;0;0;0;914;2574;299;1574;0;750;437;0;0;263;98;442;1437;4168;45191;0;5071;2928;2199;0;2411;2104;8197;5272;3116;572;750;0;0;0;109;12981;8308;17479;52512;0;26976;599;0;0;29481;27858;37743;47303;784;742;0;55188;0;0;0;2393;903;2556;1016;22289;2177;1871;0;0;3889;2685;1754;2124;0;299;1578;2180;7681;288;0;17242;748;1811;1503;1198;0;0;0;0;2952;0;0;1466;2284;0;0;0;3755;0;0;10295;0;988;745;314;3025;0;9925;0;3644;4996;2411;759;5134;6561;0;0;0;0;0;6092;1906;95634;786;8087;9148;0;2208;1628;8058;632;9826;329;1031;1782;0;0;0;0;0;459;512955;4828;4000;0;6966;401779;0;71928;394199;8713;2546;35365;3171589;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Agrostis"
"Lotus";0;1095;0;0;0;0;0;0;0;0;5641;15211;0;53627;379;327;0;0;0;0;41673;30044;0;1444;102876;55651;26397;0;0;0;4021;91155;0;79773;0;9674;9145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;106;19588;0;0;0;0;17151;0;0;3068;13752;0;1693;0;0;0;633;0;0;0;0;0;253;0;0;0;0;0;47150;54352;21709;110;0;0;3917;4750;0;7504;779;0;134153;19200;0;687;6121;0;6740;132;0;0;350576;3742;2407;917;4206;14533;2144;0;0;4627;3979;1394;38072;0;13536;0;50666;0;416780;59446;536;4719;13485;3740;0;0;0;0;109456;0;0;0;469;0;0;0;0;0;0;0;22914;0;0;0;0;22838;515;0;0;0;7715;79520;0;690;2999;0;1869;0;204387;1664;33310;0;2355;0;0;0;35365;0;0;0;0;0;6777;21027;0;0;390;0;0;0;0;301133;0;706;1881;0;10078;0;0;0;0;0;308;6529;3524;0;0;0;22228;0;22711;176;8138;5954;4089;0;1149;0;0;0;0;0;2742;0;24038;0;0;0;0;0;0;1028;39007;3404;1947;2896317;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Lotus"
"Epilobium";0;6056;0;0;0;0;270031;21899;0;0;4531;591648;32891;526547;3943;507669;0;580;0;2752;8863;0;4260;0;22346;13268;2711;70311;0;0;55447;2827;0;22320;0;7700;0;0;5972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;795;0;0;0;0;0;430;0;0;0;0;549;0;0;0;0;0;0;757;0;5327;0;0;0;0;0;0;169;0;0;0;0;9133;0;0;354;0;0;19840;1253;0;0;368;946;72050;3400;0;1685;2497;0;2444;223;0;0;13459;2563;0;198;5193;748;0;0;0;0;1775;0;13574;0;8487;0;1010;5643;1314;4408;68;3485;0;6230;2629;0;256;0;0;0;0;0;18830;0;425;0;0;518;0;0;3344;0;271;1018;0;8043;611;92;12900;0;5129;8141;0;1139;2760;6479;814;0;9455;7277;10170;0;7422;257;0;0;0;0;593;0;0;0;0;35072;0;0;0;0;0;0;0;2869;0;0;236;0;10150;0;0;0;0;0;351;1160;3888;163;0;0;10777;0;9183;0;1734;440;785;0;236;0;0;0;0;0;849;0;412;0;0;0;0;0;0;5734;0;0;0;2567559;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Epilobium"
"Geum";6138;0;0;0;0;0;127560;116835;3711;0;8806;0;5409;3190;47075;18196;9394;163323;35901;18937;100138;0;4169;1799;6352;1514;6328;0;0;0;0;304;0;881;0;0;0;0;3073;0;0;1674;0;0;0;0;0;0;1425;0;0;0;2088;0;0;3198;0;0;0;0;0;0;0;0;276;0;0;268;0;2679;20600;864;0;0;0;0;0;1516;0;8936;0;0;146;0;0;0;408;183;6006;6807;0;0;0;0;0;775;2523;503;0;0;0;21564;2407;3957;3175;4577;0;138;462;0;646;2267;29171;0;602;0;0;1250;5174;0;0;12575;1248;0;0;0;5426;0;14951;0;0;0;0;14340;554;0;0;0;0;0;5279;0;0;0;0;0;1293;1643;0;3966;0;184;0;40714;52399;3409;2192;0;377010;264782;189;1855;14458;0;0;186085;0;1682;0;0;0;0;10349;6861;19635;0;0;0;2479;0;0;2276;0;0;695;0;0;0;0;583;0;0;0;0;0;0;0;2442;0;0;0;0;0;41006;0;0;1103;2986;0;592;0;0;0;0;24772;17300;1474;8103;899;8626;0;0;0;1852;0;0;399;0;357;0;0;0;0;0;0;0;565;0;0;1986886;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Geum"
"Carex";0;4337;0;0;0;0;0;12511;0;0;5741;8483;3606;7233;3559;1766;11469;561;3984;3816;5681;69844;0;0;645;1542;2169;13877;2410;20605;4015;6417;0;10741;1513;14722;74049;69258;67421;0;8262;888;0;0;0;1147;0;144132;5871;588;0;2773;0;0;0;2615;3029;0;62;0;195;0;0;0;80;0;395;169;333;465;0;0;5307;0;12184;0;5857;0;1956;0;667;0;0;0;0;0;540;5415;775;114;0;2709;0;0;1850;129;3912;557;2032;0;2677;2146;0;404;0;0;5474;8426;12469;33109;0;1903;0;0;0;16328;6374;1788;612;41645;12194;0;0;0;0;0;53338;0;52910;0;0;976;1621;0;0;17130;38896;20774;121147;0;0;0;53875;990;0;0;394;89;0;119;0;107;12279;19874;108324;0;166;0;0;0;2881;0;16151;2454;1394;0;3034;24292;1368;1972;33226;5017;158;158;0;1456;15991;0;2210;0;28662;478;0;0;78;0;27869;9879;260;95;0;0;0;545;0;1729;119979;4642;1216;0;1985;0;0;0;0;0;2980;254;0;1137;0;0;1140;0;10106;20448;756;2199;659;0;556;0;1809;0;0;0;0;1290;4597;2035;0;0;0;0;0;247;16369;1224;2284;1674810;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Cyperaceae";"Carex"
"Hypochaeris";661;8827;0;0;0;0;0;9909;8881;8110;2854;0;2377;0;4389;289;23718;2408;20091;3015;0;2018;1898;0;0;0;0;0;30871;6401;8905;0;0;178;6199;6530;3730;0;7796;11376;5509;3287;0;2000;4636;0;18370;6870;40857;2072;815;14491;4231;18586;23935;3895;26347;3621;3787;247;808;0;0;0;0;0;537;406;122;0;0;1965;0;0;15007;7166;0;993;2395;0;889;0;0;0;0;0;419;1084;469;3750;0;836;13477;0;41016;388;6501;611;2770;2148;4978;1595;252;3294;2418;1426;11253;14534;5841;147968;4184;20844;16179;3523;460;6019;0;15710;1654;6934;10441;7474;0;2077;1665;1606;32323;10253;41051;0;520;46773;9852;0;114;60126;13424;33432;137360;2308;20320;0;0;0;0;39331;7467;3581;343;3081;0;3194;0;0;0;16588;1379;12630;13868;0;2198;937;0;0;267;0;0;0;802;0;1373;0;0;898;0;5933;0;0;1279;0;0;2084;0;0;0;918;0;23502;3428;2555;3351;30904;5703;2921;2230;7185;1369;2813;1117;30002;7067;0;9477;0;0;6263;2293;5509;1032;1293;25257;11084;6006;17477;12335;3394;0;7395;480;2440;425;4476;5772;14305;18710;5739;296;8138;5338;8911;8398;8358;2631;0;10375;11474;22946;2311;5838;1667403;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Hypochaeris"
"Salix";0;0;0;0;0;0;0;0;0;0;883;0;0;1682;0;273;0;0;0;3528;62206;0;0;0;3311;11862;3231;0;0;0;0;45276;0;27098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380;0;0;32789;0;0;0;0;0;62376;0;0;0;0;8219;0;0;0;0;0;7871;698;0;0;0;0;0;0;0;42251;0;0;862;719;0;41173;0;3954;20448;6380;0;0;4620;0;767;0;0;0;132247;0;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;6818;3690;924;0;0;0;0;0;0;0;0;0;0;0;0;0;222;0;0;417;0;0;0;0;0;0;0;127091;4397;0;0;0;0;43504;68309;0;0;0;0;0;324066;0;13358;0;0;0;0;0;0;0;269;0;487;0;7120;0;0;0;0;0;0;0;0;120028;0;1675;691;0;0;0;0;0;0;0;483;0;0;72108;0;0;0;0;105579;0;0;0;0;0;0;0;0;0;0;0;125;430;0;0;0;0;0;0;0;0;0;0;0;1427120;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Salix"
"Vaccinium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4235;0;0;0;0;3778;0;0;2438;26362;30987;63632;0;0;0;0;68728;0;33283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1604;0;723;0;0;455065;0;0;0;0;0;0;0;0;0;657;0;3724;0;0;0;1947;812;0;0;0;0;0;0;0;0;689;0;0;0;1316;1564;0;0;3264;222057;16692;0;0;412;0;0;0;219665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1451;0;0;157893;445;9759;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1333432;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Ericales";"Ericaceae";"Vaccinium"
"Tilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2324;0;0;0;0;0;0;2742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3527;0;0;209397;0;0;318552;0;3551;0;0;0;0;5736;0;0;0;0;4347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19122;0;561;0;0;0;0;0;0;0;0;0;12505;0;0;0;888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;666;0;0;0;0;0;1737;0;0;0;0;0;10336;561;0;0;0;0;0;0;0;0;0;0;0;0;17706;0;0;0;0;187743;48505;5935;193777;0;0;0;0;439;0;0;1952;0;0;0;0;0;13066;0;0;0;0;0;0;0;0;0;1807;5836;0;0;4218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3738;0;0;0;0;0;0;0;0;1081599;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Malvales";"Malvaceae";"Tilia"
"Cytisus";0;2756;0;0;0;0;29857;0;7037;17197;4295;0;857;4191;2870;325;15258;2099;0;1806;0;0;0;0;0;0;0;0;1581;0;0;0;0;0;0;0;0;0;0;0;876;1520;0;0;3792;0;0;2596;0;1745;0;21737;5361;0;0;68;4659;16003;8851;0;16531;0;0;0;1399;0;5959;4189;41319;14663;0;13912;0;0;0;7386;3287;10562;36646;0;1328;569;0;1513;40;0;7776;9216;3426;1272;141;2459;0;0;0;4770;3544;2575;8306;0;0;0;0;0;0;1039;903;1675;0;4279;0;1050;0;0;0;0;9631;1365;149;0;338;0;0;0;0;451;4716;3433;0;69840;2996;3523;713;0;352;0;2232;0;0;4861;11141;0;0;0;5121;0;9955;9051;20536;8919;0;27883;0;0;48379;8375;1386;12370;17753;0;4501;3379;0;4912;1701;0;0;0;31196;0;6670;0;0;0;0;48999;3713;2772;0;2231;0;0;0;7113;0;221;28631;0;1432;3399;838;23081;0;3925;0;0;6102;0;3121;0;7612;0;1243;0;0;0;0;0;5043;1664;0;18437;0;5550;0;902;0;7636;0;0;423;2700;0;0;5876;0;479;1280;0;4804;2184;0;0;0;0;3681;10938;0;0;922929;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Cytisus"
"Poa";0;1078;0;0;0;0;0;17825;1377;1645;1883;0;6668;0;709;333;9226;1802;2665;2091;0;7178;0;0;0;0;0;26324;8951;36106;2875;356;0;785;0;491;7602;461120;11249;525;359;0;0;0;0;0;3102;2007;3120;520;0;0;0;0;0;146;1208;1159;0;0;0;0;0;0;0;0;234;87;169;0;1285;352;0;0;0;0;713;0;5909;0;189;0;0;0;0;0;138;614;0;0;0;0;0;0;0;2505;501;185;420;0;0;0;406;0;0;0;133;777;2750;25692;0;0;0;0;0;0;1238;3651;0;13582;3266;0;0;0;0;0;4587;5678;5190;2418;0;17236;0;735;0;11989;1617;2410;24221;0;0;0;0;0;0;0;119;497;217;0;0;763;1130;0;0;0;147;201;1424;785;433;2030;6552;14067;1782;540;0;695;614;4407;1748;686;178;2229;215;8746;5433;0;1761;0;0;0;0;0;0;0;0;0;0;364;0;0;0;0;0;1187;0;6525;771;0;3493;0;0;0;0;0;1260;1970;532;430;0;0;0;0;0;4195;0;7758;330;0;992;236;0;0;0;0;326;416;2536;494;0;1681;0;0;0;259;3521;211;1386;861634;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Poa"
"Glyceria";0;76;0;0;0;0;0;1664;0;0;325;0;0;0;0;64;110;0;0;0;0;27517;0;0;140;0;0;0;0;0;2096;235;0;0;0;0;1398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23438;0;0;16817;0;0;0;0;0;0;0;679;0;0;0;0;0;0;0;0;1300;0;769;0;0;0;0;0;0;0;0;0;0;0;1240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8123;1101;17583;6227;0;5571;0;0;0;8381;1757;10057;15262;0;0;0;0;0;0;0;10415;0;0;0;0;586;0;0;0;0;0;0;0;0;0;0;992;0;178;0;100640;51267;1107;5878;0;0;98;0;0;0;603;0;0;0;258527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4095;0;4601;0;0;777;0;0;0;0;0;416;0;9891;94;0;0;0;0;0;0;0;0;665;0;0;0;0;0;0;0;0;0;4785;0;0;0;0;0;0;0;0;183;0;610622;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Glyceria"
"Filipendula";0;2098;0;0;0;0;22643;20672;0;0;48340;0;1006;6864;6170;13027;3114;170;0;316764;10685;0;0;0;435;0;0;0;0;0;2609;0;0;438;0;0;1330;0;4738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441;0;0;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;998;0;0;0;0;0;0;0;153;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;363;0;0;0;0;327;0;3056;0;0;0;0;0;0;0;0;0;0;0;5930;0;0;0;0;0;0;0;0;0;0;4380;0;0;112716;0;0;0;0;0;0;0;0;763;0;0;0;0;0;0;0;0;299;0;8485;0;0;0;0;0;59;426;0;0;0;0;0;0;0;2041;0;0;0;606785;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Filipendula"
"Ranunculus";0;185;0;0;0;0;0;0;2044;0;1273;0;265;2314;2876;0;0;0;2059;0;16820;2887;0;0;2384;1654;1294;0;0;0;4471;7338;0;1096;186803;6528;8656;0;3026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;6557;0;0;1131;0;0;0;0;7538;0;0;0;0;0;0;0;0;33895;0;1686;0;1040;0;682;0;0;0;0;0;1346;197;0;1625;0;0;13342;0;0;1044;1245;132;1741;0;0;7712;0;2233;584;509;2441;0;2598;0;0;0;0;0;513;1603;1645;0;711;568;384;0;0;0;0;415;7488;0;0;0;0;0;2234;0;0;911;1077;0;0;0;0;0;0;0;0;0;1190;0;0;0;0;349;1379;0;0;0;0;0;0;0;205;151;1649;0;112;0;0;605;716;0;2565;0;315;0;0;0;921;0;0;0;36222;0;0;0;0;0;8694;22425;0;0;1319;0;0;0;0;23197;0;1492;7842;0;6442;0;0;0;0;0;648;699;0;1506;0;0;0;0;13995;316;4196;4614;1383;0;0;0;0;0;0;0;0;0;749;0;0;0;0;0;0;395;0;673;1091;509025;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Ranunculus"
"Geranium";3539;3819;0;0;0;0;0;16129;3803;105222;3558;0;1775;0;52793;191;651;95;2544;1096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1385;0;161;0;0;0;0;0;0;0;0;0;0;539;0;0;0;0;0;0;0;0;0;0;590;0;0;0;0;0;0;380;129;632;0;0;0;0;0;0;0;0;730;0;7362;11429;284;827;604;309;0;133;0;9304;385;154;0;0;90;0;0;166;359;667;761;6365;1375;3545;4227;3326;8297;18525;6653;0;498;0;740;0;419;3763;993;0;19594;0;549;0;0;0;0;0;466;403;0;47;0;497;0;0;0;2684;1345;2458;0;0;1843;833;683;0;10640;0;11241;1309;5481;0;44491;11875;0;0;0;7319;3834;835;13212;2690;0;0;0;0;130;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;437109;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Geranium"
"Alnus";0;0;0;0;0;0;0;3339;0;0;783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1343;0;0;0;0;0;261;0;0;10386;0;0;17530;0;0;0;0;0;3072;0;0;0;326;0;0;0;14284;0;1800;81;0;0;0;0;9100;54503;0;9101;0;0;0;0;0;0;0;0;2850;0;4345;0;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3406;0;1030;0;0;0;0;0;49495;0;0;0;0;0;0;0;0;0;0;0;0;944;0;0;0;12193;0;0;347;0;0;0;0;0;0;0;8950;0;7302;0;0;0;0;0;0;0;0;0;0;0;4959;23087;0;0;7215;0;0;0;0;0;5184;8227;12907;549;0;0;4277;0;0;1478;0;0;1390;0;148;0;0;0;0;0;0;5754;64392;0;0;0;0;0;0;0;0;40535;0;422308;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Alnus"
"Lythrum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259452;2960;0;0;3233;6509;13422;0;0;0;0;0;0;1195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283;0;0;0;0;0;0;0;0;1240;0;0;0;0;0;28516;0;0;24853;1977;0;275;0;0;0;0;0;0;7130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1289;0;0;0;0;0;0;0;428;1640;0;0;0;182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2104;0;0;0;0;0;4676;0;7019;0;0;0;0;0;0;0;3465;4064;804;0;1019;0;0;0;0;0;4228;0;0;0;0;0;0;0;0;1211;0;0;0;393792;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Myrtales";"Lythraceae";"Lythrum"
"Cerastium";0;0;0;0;0;0;0;0;0;0;1716;0;0;0;0;0;0;0;3686;445;0;0;0;0;0;0;0;0;0;0;10623;0;0;0;0;0;0;86764;0;0;305;0;0;0;2445;0;0;0;0;0;0;0;0;7123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2253;0;0;0;0;0;0;0;0;206;0;268;0;0;0;0;0;0;0;0;876;1180;0;0;12207;386;447;3180;0;0;0;4959;4373;2567;16129;0;207;0;0;527;0;222;0;6457;0;16508;4499;24600;0;0;0;0;1962;127911;2373;0;0;6640;1658;0;4723;0;257;0;0;0;0;0;400;101;0;176;0;0;0;0;0;0;245;0;10981;0;173;0;0;0;0;0;0;1506;672;0;237;0;0;928;0;0;0;0;1031;0;0;0;0;0;0;0;0;0;0;0;0;864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10922;0;0;0;950;0;0;0;0;0;0;0;0;0;0;0;773;0;0;0;0;0;0;0;0;0;0;0;390641;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Cerastium"
"Chamaenerion";0;0;0;0;0;0;0;0;13441;833;1507;8431;3806;4951;0;0;3035;5663;0;1236;0;0;127606;7595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;507;3012;361;0;2182;0;2425;13933;0;617;315;5208;37792;0;0;0;745;1015;0;0;2060;0;1702;0;0;0;16258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2062;81;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;466;0;0;40296;346;0;0;0;339;1490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16237;0;0;0;0;0;0;0;0;0;0;0;0;0;17459;0;0;0;0;0;0;0;0;0;0;0;0;0;758;0;0;0;0;0;0;0;0;7410;0;0;353284;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Chamaenerion"
"Festuca";0;0;0;0;0;0;0;0;0;0;590;0;411;0;0;0;3745;503;836;342;0;14470;0;0;0;646;0;8122;17415;19808;3908;970;0;904;0;0;5776;0;2984;0;1168;0;0;0;116;0;17697;568;17549;0;0;0;0;0;0;887;4432;2878;307;0;0;0;0;0;0;0;0;0;90;0;3408;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;354;0;0;0;0;7763;0;0;0;2531;259;232;0;0;548;0;0;0;0;0;656;1051;1101;143;621;0;0;0;331;786;2260;0;676;0;0;0;0;0;379;0;0;0;4499;0;0;0;0;0;4482;0;0;0;0;0;0;0;0;0;0;443;416;668;71;0;389;0;0;4666;0;167;117;205;0;278;981;0;588;0;0;0;0;67;0;718;0;89;0;0;1181;401;0;0;0;25095;0;0;0;0;0;15614;4939;990;2822;0;4392;0;245;0;2304;0;6564;1001;2408;1661;0;0;0;0;0;659;395;0;58;4795;12398;0;0;1414;9825;0;6687;201;0;1759;0;1400;27054;0;1868;143;1003;1394;375;0;12412;803;0;0;506;2805;1862;2676;331354;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Festuca"
