"";"open";"forest";"galloway";"exmoor"
"101";"Diptera sp.9";"Ditula angustiorana";"Chromadorea sp.87";"Equus caballus"
"102";"Entomobryidae sp.1";"Drosophila sp.4 (sulfurigaster)";"Chromadorea sp.88";"Erebia sp.1 (palarica/arvernensis/triarius)"
"103";"Eudasyphora cyanella";"Dysmachus trigonus";"Chromadorea sp.89";"Feltiella sp.1 (acarisuga)"
"104";"Eupodes sp.1 (voxencollinus)";"Ectopsocus californicus";"Chromadorea sp.90";"Fridericia sp.3 (perrieri)"
"105";"Feltiella sp.1 (acarisuga)";"Elachista canapennella";"Chromadorea sp.97";"Fridericia striata"
"106";"Fridericia striata";"Emmesomyia grisea";"Chrysolina haemoptera";"Geomyza balachowskyi"
"107";"Gypsonoma dealbana";"Enchytraeus bulbosus";"Conomelus anceps";"Glyphipterix thrasonella"
"108";"Helina impuncta";"Entomobryidae sp.2";"Cooperia oncophora";"Gymnodia humilis"
"109";"Hydra viridissima";"Erebia sp.1 (palarica/arvernensis/triarius)";"Coproica sp.1 (acutangula)";"Gypsonoma dealbana"
"110";"Hydrotaea albipuncta";"Fannia lepida";"Copromyza sp.2 (neglecta)";"Habrotrocha sp.1 (antarctica)"
"111";"Hylemya sp.1 (vagans/variata)";"Fridericia bulboides";"Crossopalpus humilis";"Haematobosca stimulans"
"112";"Hylemya sp.2 (vagans)";"Fridericia sp.1 (bisetosa)";"Crumomyia sp.1 (pilosa)";"Henlea ventriculosa"
"113";"Hylemya variata";"Fridericia sp.3 (perrieri)";"Culicidae sp.1";"Hoplodrina blanda"
"114";"Hypera plantaginis";"Geomyza balachowskyi";"Culicidae sp.2";"Hydrothassa glabra"
"115";"Insecta sp.3";"Glyphipterix thrasonella";"Culicoides chiopterus";"Isotomiella minor"
"116";"Isotomurus palustris";"Habrotrocha sp.1 (antarctica)";"Culicoides poperinghensis";"Isotomurus graminis"
"117";"Janus cynosbati";"Haematobosca stimulans";"Culicoides pulicaris";"Janus cynosbati"
"118";"Kleidocerys resedae";"Hebecnema sp.1 (fulva/fumosa/nigricolor)";"Culicoides punctatus";"Keratella"
"119";"Lasius fuliginosus";"Hydrotaea militaris";"Cylindroiulus sp.1 (punctatus/latestriatus)";"Kleidocerys resedae"
"120";"Lasius psammophilus";"Hydrotaea tuberculata";"Dasineura sp.1 (urticae)";"Lepidocyrtus cyaneus"
"121";"Limonia sp.1 (phragmitidis)";"Hydrothassa glabra";"Delphacidae sp.1";"Lepidocyrtus sp.1 (cyaneus)"
"122";"Macrobiotus hufelandi";"Insecta sp.4";"Deltocephalus pulicaris";"Leptusa ruficollis"
"123";"Macropicola sp.1 (ocydromi)";"Isotomiella minor";"Dicyrtoma fusca";"Leucoptera spartifoliella"
"124";"Mesenchytraeus pelicensis";"Isotomurus sp.1 (cassagnaui)";"Dicyrtomina minuta";"Limnephilus auricula"
"125";"Mimophisma delunaris";"Julus scandinavius";"Diptera sp.11";"Lithobius agilis"
"126";"Molophilus sp.1 (fergosonianus)";"Keratella";"Diptera sp.12";"Lumbricidae sp.1"
"127";"Musca autumnalis";"Kosswigianella sp.1 (wasatchi)";"Diptera sp.14";"Lumbriculus variegatus"
"128";"Neomyia cornicina";"Lasius sp.1";"Diptera sp.19";"Macrobiotus"
"129";"Noctua pronuba";"Lepidocyrtus cyaneus";"Diptera sp.21";"Macropicola sp.1 (ocydromi)"
"130";"Nystalea sp.1 (collaris)";"Lepidocyrtus sp.2 (lanuginosus/lignorum)";"Diptera sp.26";"Macropsis fuscula"
"131";"Oedalea sp.1 (zetterstedti)";"Leptusa ruficollis";"Diptera sp.38";"Macrosteles sp.2"
"132";"Olcella sp.1 (trigramma)";"Limonia sp.2 (trivittata/nubeculosa)";"Diptera sp.40";"Marionina clavata"
"133";"Olibrus sp.1 (affinis/norvegicus)";"Limothrips denticornis";"Diptera sp.42";"Mecistocirrus sp.1 (digitatus)"
"134";"Onthophagus fracticornis";"Lithobius agilis";"Diptera sp.48";"Megalothorax willemi"
"135";"Onthophagus nuchicornis";"Lumbricidae sp.2";"Diptera sp.5";"Megarthrus denticollis"
"136";"Onthophagus sp.1 (fracticornis/similis)";"Lumbricus sp.1 (rubellus/castaneus/terrestris)";"Diptera sp.53";"Megaselia sp.1"
"137";"Oppiella sp.1 (nova)";"Lygus sp.1";"Diptera sp.58";"Megasternum sp.1 (obscurum/concinnum)"
"138";"Oscheius sp.2 (onirici/tipulae)";"Macrobiotus";"Diptera sp.60";"Mesenchytraeus pelicensis"
"139";"Oscheius sp.4 (tipulae/chongmingensis)";"Macrocheles praedafimetorum";"Diptera sp.69";"Metriocnemus fuscipes"
"140";"Ostertagia sp.2 (ostertagi)";"Macropsis fuscula";"Diptera sp.7";"Mimophisma delunaris"
"141";"Oziella sp.1 (hirtae)";"Macrosteles laevis";"Diptera sp.71";"Minettia lupulina"
"142";"Parasitus hyalinus";"Macrosteles sp.1 (laevis)";"Diptera sp.74";"Mirificarma mulinella"
"143";"Peloptulus sp.1 (phaenotus)";"Macrosteles sp.2";"Diptera sp.76";"Mononchoides sp.1 (macrospiculum)"
"144";"Peritrechus gracilicornis";"Macrotrachela sp.3 (latior)";"Diptera sp.9";"Neanura muscorum"
"145";"Philodinida";"Margarinotus striola";"Drosophila sp.4 (sulfurigaster)";"Nematoda sp.4"
"146";"Philodinida spp.";"Marionina clavata";"Dysmachus trigonus";"Norrbomia sp.1 (fumipennis)"
"147";"Philonthus addendus";"Maso sundevalli";"Ectopsocus californicus";"Olibrus sp.1 (affinis/norvegicus)"
"148";"Philonthus albipes";"Mecistocirrus sp.1 (digitatus)";"Emmesomyia grisea";"Omphiscola glabra"
"149";"Philonthus cruentatus";"Megalothorax willemi";"Enchytraeus bulbosus";"Othius subuliformis"
"150";"Philonthus sanguinolentus";"Megaselia longicostalis";"Entomobryidae sp.2";"Oxypoda acuminata"
"151";"Phlegra fasciata";"Megaselia sp.1";"Eudasyphora cyanella";"Oxypoda opaca"
"152";"Phytomyza plantaginis";"Megasternum sp.1 (obscurum/concinnum)";"Eupodes sp.1 (voxencollinus)";"Oxyuris equi"
"153";"Plagiognathus chrysanthemi";"Minettia lupulina";"Fannia lepida";"Oziella sp.1 (hirtae)"
"154";"Protapion dissimile";"Minilimosina sp.1 (fungicola)";"Fridericia bulboides";"Pandemis cerasana"
"155";"Pterostichus niger";"Mirificarma mulinella";"Fridericia sp.1 (bisetosa)";"Paranais sp.1 (litoralis)"
"156";"Ptiliola sp.1 (kunzei)";"Mononchoides sp.1 (macrospiculum)";"Haematobia irritans";"Parasitus hyalinus"
"157";"Ptilium exaratum";"Morellia simplex";"Haemonchus sp.1 (placei)";"Pegoplata infirma"
"158";"Pullimosina pullula";"Mydaea sp.1";"Hebecnema sp.1 (fulva/fumosa/nigricolor)";"Philodinida"
"159";"Ravinia pernix";"Myzus cerasi";"Hebecnema umbratica";"Philodinida spp."
"160";"Rhabdias sp.2 (okuensis)";"Neanura muscorum";"Helina impuncta";"Philonthus sp.1 (fimetarius)"
"161";"Rhabditida sp.14";"Neelus murinus";"Hydra viridissima";"Philonthus sp.4 (tenuicornis)"
"162";"Rhabditida sp.16";"Nematoda sp.5";"Hydrotaea albipuncta";"Polydesmus sp.1 (angustus)"
"163";"Rhabditida sp.17";"Nephrotoma sp.1 (alterna)";"Hydrotaea militaris";"Poteriostomum imparidentatum"
"164";"Rhabditida sp.19";"Nesovitrea sp.1 (hammonis)";"Hydrotaea tuberculata";"Protaphorura sp.1"
"165";"Rhabditida sp.20";"Notommata";"Hylemya sp.1 (vagans/variata)";"Proteroiulus fuscus"
"166";"Rhabditida sp.21";"Oconnorella cambrensis";"Hylemya sp.2 (vagans)";"Psallus mollis"
"167";"Rhabditida sp.4";"Ommatoiulus sabulosus";"Hylemya variata";"Pseudocoenosia sp.1 (brevicauda)"
"168";"Rhabditidae sp.2";"Ootypus globosus";"Hylemyza partita";"Ptenidium nitidum"
"169";"Rhabditidae sp.4";"Oppiella nova";"Hypera plantaginis";"Ptilium exaratum"
"170";"Rhabdomastix sp.1 (parva)";"Orchesella flavescens";"Insecta sp.3";"Pullimosina pullula"
"171";"Rhingia sp.1 (campestris/nasica)";"Oswaldocruzia sp.3 (chambrieri)";"Insecta sp.4";"Quilonia sp.1 (renniei)"
"172";"Rhynchaenus quercus";"Othius subuliformis";"Julus scandinavius";"Rhabditida sp.16"
"173";"Rhynocoris sp.1 (kumarii)";"Otostephanos sp.1 (donneri)";"Khalilia sp.1 (sameera)";"Rhabditida sp.17"
"174";"Saltella sp.1 (sphondylii)";"Oxypoda acuminata";"Kosswigianella sp.1 (wasatchi)";"Rhabditida sp.19"
"175";"Saltella sphondylii";"Oxypoda opaca";"Lasius fuliginosus";"Rhabditida sp.4"
"176";"Scatopsciara sp.1 (nana)";"Oxyuris equi";"Lasius psammophilus";"Rhabditida sp.9"
"177";"Scheloribates sp.1 (clavilanceolatus)";"Pachygnatha degeeri";"Lasius sp.1";"Rhagonycha fulva"
"178";"Schizaphis graminum";"Pandemis cerasana";"Lepidocyrtus sp.2 (lanuginosus/lignorum)";"Rhipidia sp.1 (lecontei/maculata)"
"179";"Scutovertex sculptus";"Paranais sp.1 (litoralis)";"Limonia sp.1 (phragmitidis)";"Rhynchaenus quercus"
"180";"Sepsis duplicata";"Pegoplata infirma";"Limonia sp.2 (trivittata/nubeculosa)";"Rhynocoris sp.1 (kumarii)"
"181";"Sepsis fulgens";"Peripsocus subfasciatus";"Limothrips denticornis";"Scatopsciara atomaria"
"182";"Sepsis orthocnemis";"Philonthus sp.1 (fimetarius)";"Lotophila atra";"Scutovertex sculptus"
"183";"Sepsis sp.10 (punctum/monostigma/orthocnemis)";"Philonthus sp.4 (tenuicornis)";"Lumbricus sp.1 (rubellus/castaneus/terrestris)";"Silpha tristis"
"184";"Sepsis sp.4 (duplicata)";"Pisidium amnicum";"Lygus sp.1";"Sitona hispidulus"
"185";"Sepsis thoracica";"Pogonognathellus flavescens";"Macrobiotus hufelandi";"Smittia aterrima"
"186";"Silpha tristis";"Polietes sp.1 (lardarius/meridionalis)";"Macrocheles praedafimetorum";"Sphaerocera sp.1 (curvipes)"
"187";"Sminthurinus elegans";"Polydesmus sp.1 (angustus)";"Macrosteles laevis";"Sphaeroceridae sp.2"
"188";"Sphaeridium bipustulatum";"Polymerus unifasciatus";"Macrosteles sp.1 (laevis)";"Strongylida sp.100"
"189";"Sphaeridium scarabaeoides";"Protaphorura sp.1";"Margarinotus striola";"Strongylida sp.103"
"190";"Sphaeridium sp.1 (lunatum/bipustulatum)";"Proteroiulus fuscus";"Maso sundevalli";"Strongylida sp.104"
"191";"Sphaerocera sp.1 (curvipes)";"Psallus mollis";"Mecinus labilis";"Strongylida sp.115"
"192";"Sphaeroceridae sp.2";"Psammotettix confinis";"Megaselia longicostalis";"Strongylida sp.116"
"193";"Steinernema feltiae";"Rhabditida sp.22";"Mesembrina meridiana";"Strongylida sp.117"
"194";"Strongylida sp.104";"Rhabditida sp.23";"Micoletzkya sp.2 (hylurginophila)";"Strongylida sp.121"
"195";"Strongylida sp.123";"Rhabditida sp.9";"Minilimosina sp.1 (fungicola)";"Strongylida sp.123"
"196";"Strongylida sp.124";"Rhagonycha fulva";"Molophilus sp.1 (fergosonianus)";"Strongylida sp.124"
"197";"Strongylida sp.132";"Rhipidia sp.1 (lecontei/maculata)";"Morellia simplex";"Strongylida sp.125"
"198";"Strongylida sp.136";"Scatopsciara atomaria";"Musca autumnalis";"Strongylida sp.128"
"199";"Strongylida sp.145";"Scheloribates sp.2 (initialis)";"Mydaea sp.1";"Strongylida sp.132"
"200";"Strongylida sp.148";"Sepsis luteipes";"Mydaea sp.2 (urbana/neglecta)";"Strongylida sp.136"
"201";"Strongylida sp.149";"Sitona hispidulus";"Myzus cerasi";"Strongylida sp.145"
"202";"Strongylida sp.155";"Steganacarus magnus";"Nearcticorpus sp.1 (canadense/pecki)";"Strongylida sp.148"
"203";"Strongylida sp.166";"Steinernema silvaticum";"Necator sp.1 (americanus)";"Strongylida sp.149"
"204";"Strongylida sp.168";"Strongylida sp.117";"Neelus murinus";"Strongylida sp.153"
"205";"Strongylida sp.190";"Strongylida sp.121";"Neomyia cornicina";"Strongylida sp.155"
"206";"Strongylida sp.194";"Strongylida sp.125";"Nephrotoma sp.1 (alterna)";"Strongylida sp.160"
"207";"Strongylida sp.196";"Strongylida sp.128";"Notommata";"Strongylida sp.169"
"208";"Strongylida sp.39";"Strongylida sp.14";"Nystalea sp.1 (collaris)";"Strongylida sp.171"
"209";"Strongylida sp.40";"Strongylida sp.15";"Oedalea sp.1 (zetterstedti)";"Strongylida sp.173"
"210";"Strongylida sp.50";"Strongylida sp.164";"Olcella sp.1 (trigramma)";"Strongylida sp.179"
"211";"Strongylida sp.53";"Strongylida sp.169";"Ommatoiulus sabulosus";"Strongylida sp.188"
"212";"Strongylida sp.6";"Strongylida sp.17";"Onthophagus fracticornis";"Strongylida sp.190"
"213";"Strongylida sp.61";"Strongylida sp.173";"Onthophagus nuchicornis";"Strongylida sp.193"
"214";"Strongylida sp.66";"Strongylida sp.35";"Onthophagus sp.1 (fracticornis/similis)";"Strongylida sp.194"
"215";"Strongylidae sp.11";"Strongylida sp.4";"Oppiella nova";"Strongylida sp.196"
"216";"Strongylidae sp.17";"Strongylida sp.5";"Oppiella sp.1 (nova)";"Strongylida sp.198"
"217";"Strongylidae sp.18";"Strongylida sp.58";"Orchesella flavescens";"Strongylida sp.199"
"218";"Strongyloides sp.1 (mirzai)";"Strongylida sp.68";"Oscheius sp.4 (tipulae/chongmingensis)";"Strongylida sp.200"
"219";"Succinea putris";"Strongylida sp.78";"Ostertagia ostertagi";"Strongylida sp.21"
"220";"Tephritis vespertina";"Strongylida sp.90";"Ostertagia sp.1 (ostertagi/lyrata)";"Strongylida sp.26"
"221";"Tipula luna";"Strongylida sp.96";"Ostertagia sp.2 (ostertagi)";"Strongylida sp.27"
"222";"Toxopterina vandergooti";"Strongylidae sp.3";"Oswaldocruzia sp.3 (chambrieri)";"Strongylida sp.3"
"223";"Uncinaria sp.1 (lyonsi)";"Strophosoma capitatum";"Otostephanos sp.1 (donneri)";"Strongylida sp.35"
"224";"Uroleucon sp.1 (cichorii/hypochoeridis)";"Sylvicola sp.1 (stackelbergi)";"Pachygnatha degeeri";"Strongylida sp.39"
"225";"Uropoda orbicularis";"Syndemis musculana";"Pegoplata aestiva";"Strongylida sp.4"
"226";"Xenylla szeptyckii";"Synuchus vivalis";"Peloptulus sp.1 (phaenotus)";"Strongylida sp.40"
"227";"Xestia xanthographa";"Tachinus laticollis";"Peripsocus subfasciatus";"Strongylida sp.47"
"228";"0";"Tachinus proximus";"Peritrechus gracilicornis";"Strongylida sp.50"
"229";"0";"Tenuiphantes mengei";"Perostrongylus sp.1 (falciformis)";"Strongylida sp.52"
"230";"0";"Thaumalea sp.1 (subafricana)";"Philonthus addendus";"Strongylida sp.53"
"231";"0";"Thricops simplex";"Philonthus cruentatus";"Strongylida sp.54"
"232";"0";"Thrips major";"Phlegra fasciata";"Strongylida sp.58"
"233";"0";"Thrips sp.1 (fuscipennis/sambuci)";"Phytomyza plantaginis";"Strongylida sp.6"
"234";"0";"Tischeria ekebladella";"Polietes sp.1 (lardarius/meridionalis)";"Strongylida sp.60"
"235";"0";"Torymus sp.1";"Polymerus unifasciatus";"Strongylida sp.61"
"236";"0";"Trichocera regelationis";"Pristionchus sp.1 (pacificus)";"Strongylida sp.66"
"237";"0";"Trichocera sp.1 (japonica)";"Protapion dissimile";"Strongylida sp.67"
"238";"0";"Trichoniscus pusillus";"Psammotettix confinis";"Strongylida sp.68"
"239";"0";"Trichopsychoda hirtella";"Psychoda phalaenoides";"Strongylida sp.75"
"240";"0";"Trichosirocalus sp.1 (troglodytes)";"Psychoda setigera";"Strongylida sp.78"
"241";"0";"Trichostrongylus sp.1 (axei)";"Pterostichus niger";"Strongylida sp.79"
"242";"0";"Trypocopris vernalis";"Ravinia pernix";"Strongylida sp.84"
"243";"0";"Willemia anophthalma";"Rhabdias sp.2 (okuensis)";"Strongylida sp.88"
"244";"0";"0";"Rhabditida sp.20";"Strongylida sp.89"
