"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG20";"AUG3";"AUG4";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR17";"MAR18";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Spelobia sp.1 (clunipes/tenebrarum)";0;0;183687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;903;0;0;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4266;0;202474;9311;0;0;0;0;0;0;0;1857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758;0;1058;0;0;0;0;0;0;125;0;0;74;0;478;0;0;0;0;0;0;65448;7958;1348;0;0;0;1952;0;3366;696;105;0;0;0;0;0;0;0;0;0;0;1357;0;0;0;0;0;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;0;0;0;0;0;0;0;45240;0;0;0;0;0;0;0;0;0;3441;0;0;0;0;0;0;536529;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Sphaeroceridae";"Spelobia"
"Sepsis sp.5 (flavimana/neocynipsea)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23919;0;192638;0;20557;7538;43459;0;0;0;0;0;20462;139;8825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17525;0;458;267;634;58281;0;0;0;0;0;0;0;0;42;8440;0;0;0;0;0;0;44590;23232;0;0;0;0;0;0;0;1403;0;37411;2727;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2311;0;0;0;0;0;0;0;0;0;0;0;0;422;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1899;217;0;0;0;0;0;0;0;0;0;0;0;0;0;517755;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Sepsidae";"Sepsis"
"Hypogastrura assimilis";0;0;0;62334;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;363;0;1601;0;0;0;0;0;0;0;0;0;185;0;0;696;0;928;11581;0;0;0;0;0;0;0;0;109;222;0;0;0;0;0;0;0;0;224;0;72;17165;473;0;0;0;0;0;0;0;3238;0;0;939;0;1008;0;554;163;0;0;0;0;0;0;0;0;0;0;1999;0;0;0;0;884;0;862;0;127596;0;0;0;0;0;0;0;0;0;0;0;0;8;2178;204;171649;1971;2593;0;0;0;0;0;2999;0;13;0;0;0;300;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;9231;0;0;0;23871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337;4799;0;0;0;0;0;0;960;0;0;0;0;0;0;0;0;0;0;0;270;18;174;22;2111;1270;0;0;0;0;107;95;0;0;0;0;0;0;0;0;735;28773;190;2192;532;0;0;0;0;0;0;0;0;0;631;0;0;387;0;2821;197;1787;409;17;3721;1533;502485;"Metazoa";"Arthropoda";"Collembola";"Poduromorpha";"Hypogastruridae";"Hypogastrura"
"Saltella sphondylii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11208;0;52650;88000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33697;0;89800;6183;176500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;22008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;481160;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Sepsidae";"Saltella"
"Bovicola bovis";0;0;0;0;0;0;0;0;0;0;0;109677;0;79998;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;4;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8438;0;0;0;0;0;18549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;21;0;8030;1298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;922;0;196730;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;430381;"Metazoa";"Arthropoda";"Insecta";"Phthiraptera";"Bovicoliidae";"Bovicola"
"Phortica sp.1 (spinosa)";0;0;0;0;0;4015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8842;1637;20537;10843;0;178;0;0;0;34;90406;523;5648;0;0;0;0;0;0;31770;10095;18;0;0;0;0;0;0;0;14316;0;0;0;0;0;0;0;0;16183;323;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;862;0;0;0;1362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4154;0;96;202;0;1481;0;0;0;0;0;0;0;0;84;0;0;0;0;0;911;42703;0;0;0;5639;0;0;0;102;0;91;0;0;8;0;0;0;0;69;4916;0;616;0;143;0;0;1814;0;1091;4817;0;0;0;0;186;0;0;0;0;121356;0;68;0;11;0;0;0;155;138;3432;2182;414107;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Drosophilidae";"Phortica"
"Oxytelus laqueatus";0;0;0;0;0;0;0;63974;21722;0;1025;0;0;0;0;0;0;0;0;0;250;0;0;0;499;267;38;0;27399;0;0;0;313;0;101;0;17675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2974;251;12538;3643;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;794;98;12588;0;0;19294;0;0;0;0;26170;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;973;238;0;13255;0;0;536;0;0;16207;1270;148306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4793;0;1200;0;0;0;0;0;0;0;0;516;528;0;0;0;0;399586;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Oxytelus"
"Philonthus fimetarius";0;0;0;0;0;0;135206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758;138;0;0;0;0;0;196836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1047;0;0;0;0;0;0;0;108;0;0;0;0;0;0;2910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352;0;0;0;0;0;0;0;0;0;337687;"Metazoa";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Staphylinidae genus seq399"
"Musca autumnalis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5827;0;0;0;0;0;0;0;0;0;0;0;0;39326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35461;0;0;0;0;0;0;0;0;0;0;0;0;11617;2263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15108;0;99354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331128;"Metazoa";"Arthropoda";"Insecta";"Diptera";"Muscidae";"Musca"
"Parisotoma notabilis";0;0;0;120882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4892;458;0;0;342;0;0;0;0;0;0;0;0;0;0;0;0;0;133;0;0;35313;0;0;0;0;0;0;5733;0;0;0;125069;0;0;0;0;388;0;0;0;326;0;0;0;0;0;385;0;0;0;0;0;0;0;0;0;0;429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;356;0;0;0;0;0;0;993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296702;"Metazoa";"Arthropoda";"Collembola";"Entomobryomorpha";"Isotomidae";"Parisotoma"
